C,n,P,t,a,N,LN
-9.626653307,2.850701403,13609.21844,2.124048096,2.165330661,51186.76969,4.709157723
-9.357314629,2.648697395,15196.39279,2.611422846,1.556112224,62360.17389,4.794907318
-9.833466934,3.115230461,12190.38076,2.643486974,2.253507014,114546.9928,5.058983692
-9.568937876,2.850701403,14595.19038,2.725250501,1.544088176,78791.35305,4.896478558
-9.316432866,2.566933868,15064.12826,2.879158317,2.233466934,87253.78238,4.940784262
-9.617034068,2.853106212,13296.59319,2.693186373,1.566132265,110322.6384,5.042664639
-9.672344689,2.896392786,11096.19238,2.311623246,2.331663327,113801.4955,5.056147969
-9.85511022,3.088777555,12767.53507,2.318036072,2.373747495,72417.71795,4.859844835
-9.340480962,2.603006012,11216.43287,2.64509018,2.087174349,148950.4445,5.173041804
-9.787775551,3.038276553,16074.1483,2.807014028,1.74248497,67738.56066,4.830835964
-9.441482966,2.658316633,12899.7996,2.326052104,1.73246493,83768.48854,4.923080679
-9.828657315,3.115230461,11420.84168,2.135270541,1.630260521,77201.33881,4.887624832
-9.525651303,2.788176353,14655.31062,2.606613226,1.760521042,71481.48455,4.854193563
-9.864729459,3.127254509,15136.27255,2.308416834,1.538076152,43435.5404,4.637845229
-9.513627255,2.773747495,11180.36072,2.741282565,1.69238477,176018.5836,5.245558522
-9.924849699,3.196993988,12779.55912,2.75250501,2.091182365,118304.1615,5.073000022
-9.886372745,3.088777555,14727.45491,2.43987976,1.668336673,64358.99707,4.808609268
-9.234669339,2.48997996,15569.13828,2.816633267,1.596192385,78775.33951,4.896390284
-9.684368737,2.93006012,16759.51904,2.786172345,1.968937876,58893.69819,4.770068826
-9.934468938,3.165731463,12839.67936,2.2250501,2.355711423,62430.42918,4.795396321
-9.932064128,3.177755511,13428.85772,2.300400802,1.958917836,61858.54321,4.791399688
-9.790180361,3.050300601,16891.78357,2.71242485,2.101202405,49121.46324,4.691271295
-9.338076152,2.605410822,14138.27655,2.114428858,1.998997996,45482.94799,4.657848606
-9.564128257,2.792985972,14919.83968,2.717234469,2.46993988,75837.8151,4.879885812
-10.0498998,3.293186373,13849.6994,2.338877756,1.706412826,60238.53562,4.779874406
-9.761322645,2.987775551,14799.5992,2.731663327,2.29759519,79274.91911,4.899135808
-9.489579158,2.778557114,13861.72345,2.422244489,2.435871743,59272.47221,4.772853042
-9.246693387,2.514028056,16314.62926,2.300400802,2.145290581,39737.24658,4.599197771
-9.595390782,2.884368737,11300.6012,2.691583166,2.339679359,144033.7639,5.15846431
-9.871943888,3.091182365,12070.14028,2.143286573,1.894789579,74994.48713,4.875029339
-9.441482966,2.667935872,15845.69138,2.827855711,2.329659319,75037.0563,4.875275788
-9.638677355,2.848296593,13080.16032,2.290781563,2.351703407,71554.20746,4.854635176
-9.936873747,3.177755511,14691.38277,2.335671343,1.776553106,50406.21427,4.702484081
-9.578557114,2.824248497,12166.33267,2.250701403,1.672344689,83096.64117,4.91958347
-9.691583166,2.898797595,15388.77756,2.819839679,2.411823647,80597.28041,4.906320388
-9.648296593,2.93006012,14342.68537,2.685170341,1.906813627,77224.70402,4.887756252
-9.633867735,2.872344689,11805.61122,2.160921844,1.766533066,81221.89856,4.909673137
-9.321242485,2.578957916,16771.54309,2.340480962,1.846693387,39561.57417,4.597273564
-9.554509018,2.829058116,13681.36273,2.781362725,2.159318637,96929.63139,4.986456561
-9.972945892,3.196993988,15593.18637,2.302004008,1.804609218,41053.5466,4.613350682
-9.592985972,2.86753507,12082.16433,2.845490982,1.532064128,155838.8826,5.192675826
-9.770941884,3.050300601,14979.95992,2.313226453,2.455911824,39472.77483,4.596297657
-9.357314629,2.590981964,16362.72545,2.603406814,2.109218437,57183.25246,4.757268853
-9.205811623,2.475551102,15292.58517,2.239478958,1.588176353,45209.95525,4.655234077
-9.770941884,3.05751503,16531.06212,2.277955912,1.814629259,29941.7546,4.476277247
-9.92244489,3.180160321,15569.13828,2.172144289,1.656312625,32386.68081,4.510366441
-9.374148297,2.598196393,15100.2004,2.882364729,2.365731463,90522.17232,4.956754967
